PROMPT_ID,PROMPT,GOLDEN_SQL_QUERY
65,List invoices for customer dickeys barbeque,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ( REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'DICKEYSBARBEQUE%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'DICKEYSBARBEQUE%' );"
66,List invoices for customer dickeys bbq,"SELECT AR_INV.INVOICE_NUMBER, AR_INV.INVOICE_TRANSACTION_DATE, AR_INV.INVOICE_MEMO, AR_INV.INVOICE_STATUS, AR_INV.INVOICE_ORIGINAL_AMOUNT_LOCAL, AR_INV.INVOICE_OPEN_AMOUNT_LOCAL, AR_INV.INVOICE_DUE_AMOUNT_LOCAL, AR_CUST.CUSTOMER_NAME, AR_CUST.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AR_INV JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AR_CUST ON AR_INV.AR_CUSTOMER_FK = AR_CUST.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AR_GL ON AR_INV.AR_GL_ACCOUNT_FK = AR_GL.AR_GL_ACCOUNT_PK WHERE AR_GL.GL_ACCOUNT_NUMBER = '1300' AND ( REGEXP_REPLACE(LOWER(AR_CUST.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'dickeysbbq%' OR REGEXP_REPLACE(LOWER(AR_CUST.BRAND), '[^a-zA-Z0-9]', '') LIKE 'dickeysbbq%' );"
69,List invoices for customer Papa John's,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ( REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'PAPAJOHNS%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'PAPAJOHNS%' );"
70,Give me all invoices for April 2024 with an open amount 4300.,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_OPEN_AMOUNT_LOCAL = 4300 AND ai.INVOICE_TRANSACTION_DATE BETWEEN '2024-04-01' AND '2024-04-30';"
71,Give me all invoices for Walgreen Co,"SELECT A.INVOICE_NUMBER, A.INVOICE_TRANSACTION_DATE, A.INVOICE_MEMO, A.INVOICE_STATUS, A.INVOICE_ORIGINAL_AMOUNT_LOCAL, A.INVOICE_OPEN_AMOUNT_LOCAL, A.INVOICE_DUE_AMOUNT_LOCAL,  C.CUSTOMER_NAME, C.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE A JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER C ON A.AR_CUSTOMER_FK = C.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT G ON A.AR_GL_ACCOUNT_FK = G.AR_GL_ACCOUNT_PK WHERE ( REGEXP_REPLACE(c.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'WalgreenCo%' OR REGEXP_REPLACE(c.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'WalgreenCo%' ) AND G.GL_ACCOUNT_NUMBER = '1300'"
72,Give me all invoices for Walgreen Co for Ads,"SELECT A.INVOICE_NUMBER, A.INVOICE_TRANSACTION_DATE, A.INVOICE_MEMO, A.INVOICE_STATUS, A.INVOICE_ORIGINAL_AMOUNT_LOCAL, A.INVOICE_OPEN_AMOUNT_LOCAL, A.INVOICE_DUE_AMOUNT_LOCAL,  C.CUSTOMER_NAME, C.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE A JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER C ON A.AR_CUSTOMER_FK = C.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT G ON A.AR_GL_ACCOUNT_FK = G.AR_GL_ACCOUNT_PK WHERE a.BUSINESS_UNIT = 'Ads' AND ( REGEXP_REPLACE(c.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'WalgreenCo%' OR REGEXP_REPLACE(c.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'WalgreenCo%' ) AND G.GL_ACCOUNT_NUMBER = '1300'"
73,List all closed invoices for Papa John's,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ( REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'PAPAJOHNS%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'PAPAJOHNS%' ) and invoice_status = 'CLOSED';"
74,List all Drive invoices with open amount > 10000,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_OPEN_AMOUNT_LOCAL > 10000 AND ai.BUSINESS_UNIT = 'Drive';"
75,List all invoices with due amount > 5000,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_DUE_AMOUNT_LOCAL > 5000;"
76,List all invoices with open amount greater than 5500 for customer Olo,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_OPEN_AMOUNT_LOCAL > 5500 AND (REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'OLO%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'OLO%');"
77,List overdue invoices for Albertsons for June,"SELECT a.INVOICE_NUMBER, a.INVOICE_TRANSACTION_DATE,a.invoice_due_date,invoice_aging_in_days_bucket, a.INVOICE_MEMO, a.INVOICE_STATUS, a.INVOICE_ORIGINAL_AMOUNT_LOCAL, a.INVOICE_OPEN_AMOUNT_LOCAL, a.INVOICE_DUE_AMOUNT_LOCAL, c.CUSTOMER_NAME, c.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE a JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER c ON a.AR_CUSTOMER_FK = c.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT g ON a.AR_GL_ACCOUNT_FK = g.AR_GL_ACCOUNT_PK WHERE g.GL_ACCOUNT_NUMBER = '1300' AND a.INVOICE_STATUS IN ( 'PAST DUE') AND (REGEXP_REPLACE(UPPER(c.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%' OR REGEXP_REPLACE(UPPER(c.BRAND), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%') AND a.INVOICE_TRANSACTION_DATE BETWEEN '2024-06-01' AND '2024-06-30';"
78,List invoices for 006Pg000001wUI5IAM.,"SELECT 
    ai.INVOICE_NUMBER,
    ai.INVOICE_TRANSACTION_DATE,
    ai.INVOICE_MEMO,
    ai.INVOICE_STATUS,
    ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,
    ai.INVOICE_OPEN_AMOUNT_LOCAL,
    ai.INVOICE_DUE_AMOUNT_LOCAL,
    ac.CUSTOMER_NAME,
    ac.BRAND
FROM 
    FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai
JOIN 
    FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac 
    ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK
JOIN 
    FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga 
    ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK
WHERE 
    AI.CRM_OPPORTUNITY_ID='006Pg000001wUI5IAM'
    AND aga.GL_ACCOUNT_NUMBER = '1300'"
79,Give me open invoices for collector Jessica Romano,"SELECT   ai.INVOICE_NUMBER,   ai.INVOICE_TRANSACTION_DATE,   ai.INVOICE_MEMO,   ai.INVOICE_STATUS,   ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,   ai.INVOICE_OPEN_AMOUNT_LOCAL,   ai.INVOICE_DUE_AMOUNT_LOCAL,   ac.CUSTOMER_NAME,   ac.BRAND FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac   ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga   ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE   aga.GL_ACCOUNT_NUMBER = '1300'   AND ac.COLLECTOR_NAME = 'Jessica Romano'   AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE');"
80,Give me all invoices for collector Jessica.Romano@doordash.com for Unilever that will be due next week.,"SELECT   ai.INVOICE_NUMBER,   ai.INVOICE_TRANSACTION_DATE,   ai.INVOICE_MEMO,   ai.INVOICE_STATUS,   ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,   ai.INVOICE_OPEN_AMOUNT_LOCAL,   ai.INVOICE_DUE_AMOUNT_LOCAL,   ac.CUSTOMER_NAME,   ac.BRAND FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac   ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag   ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE   ag.GL_ACCOUNT_NUMBER = '1300'   AND 
(REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'Unilever%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'Unilever%')
AND ac.COLLECTOR_EMAIL ILIKE 'jessica.romano@doordash.com'   AND ai.INVOICE_DUE_DATE BETWEEN DATEADD (DAY, 8 - DAYOFWEEK (CURRENT_DATE), CURRENT_DATE) AND DATEADD (DAY, 14 - DAYOFWEEK (CURRENT_DATE), CURRENT_DATE);"
81,Give me the invoice linked to opportunity 006Pg000008Xh9eIAC,"SELECT   ai.INVOICE_NUMBER,   ai.INVOICE_SENT_TO_CUSTOMER_DATE,   ai.INVOICE_MEMO,   ai.INVOICE_STATUS,   ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,   ai.INVOICE_OPEN_AMOUNT_LOCAL,   ai.INVOICE_DUE_AMOUNT_LOCAL,   ac.CUSTOMER_NAME,   ac.BRAND FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai   JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK   JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE   ai.CRM_OPPORTUNITY_ID = '006Pg000008Xh9eIAC'   AND ag.GL_ACCOUNT_NUMBER = '1300';"
82,Give me the invoice linked to 006Pg000008Xh9eIAC,"SELECT   ai.INVOICE_NUMBER,   ai.INVOICE_SENT_TO_CUSTOMER_DATE,   ai.INVOICE_MEMO,   ai.INVOICE_STATUS,   ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,   ai.INVOICE_OPEN_AMOUNT_LOCAL,   ai.INVOICE_DUE_AMOUNT_LOCAL,   ac.CUSTOMER_NAME,   ac.BRAND FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai   JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK   JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE   ai.CRM_OPPORTUNITY_ID = '006Pg000008Xh9eIAC'   AND ag.GL_ACCOUNT_NUMBER = '1300';"
83,Give me all invoices for collector Jessica.Romano@doordash.com for Unilever that will be due in Q4,"SELECT   ai.INVOICE_NUMBER,   ai.INVOICE_TRANSACTION_DATE,   ai.INVOICE_MEMO,   ai.INVOICE_STATUS,   ai.INVOICE_ORIGINAL_AMOUNT_LOCAL,   ai.INVOICE_OPEN_AMOUNT_LOCAL,   ai.INVOICE_DUE_AMOUNT_LOCAL,   ac.CUSTOMER_NAME,   ac.BRAND FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac   ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag   ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE   ag.GL_ACCOUNT_NUMBER = '1300'   AND (REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'Unilever%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'Unilever%') AND ac.COLLECTOR_EMAIL ILIKE 'jessica.romano@doordash.com' AND quarter(ai.INVOICE_DUE_DATE) = 4 and year(ai.INVOICE_DUE_DATE) = 2024;"
84,Give me all merchants in Drive whose total outstanding balance is greater than 5000,"SELECT   ac.CUSTOMER_NAME,   ac.BRAND,   ac.CUSTOMER_NETSUITE_ID,   SUM(ai.INVOICE_OPEN_AMOUNT_LOCAL) AS ""Total Outstanding Balance"" FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac   ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag   ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE   ai.BUSINESS_UNIT = 'Drive'   AND ag.GL_ACCOUNT_NUMBER = '1300'
AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') GROUP BY   ac.CUSTOMER_NAME,   ac.BRAND,   ac.CUSTOMER_NETSUITE_ID HAVING   SUM(ai.INVOICE_OPEN_AMOUNT_LOCAL) > 5000"
85,Give me all open invoices for McDonalds in Drive,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ( REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' ) AND ai.BUSINESS_UNIT = 'Drive'"
86,Give me all open invoices for McDonald's in Drive,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ( REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' ) AND ai.BUSINESS_UNIT = 'Drive'"
87,Give me all unpaid invoices for ap@parafin.com,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ag.GL_ACCOUNT_NUMBER = '1300' AND REGEXP_REPLACE(LOWER(ac.CUSTOMER_EMAIL_ADDRESS), '[^a-zA-Z0-9]', '') LIKE REGEXP_REPLACE('ap@parafin.com', '[^a-zA-Z0-9]', '') || '%';"
88,Give me AR aging summary for all customers,"SELECT   ac.CUSTOMER_NAME,   ac.BRAND,   ac.CUSTOMER_NETSUITE_ID,   SUM(CASE WHEN ai.INVOICE_AGING_IN_DAYS_BUCKET = 'Current' THEN ai.INVOICE_OPEN_AMOUNT_LOCAL ELSE 0 END) AS ""Current"",   SUM(CASE WHEN ai.INVOICE_AGING_IN_DAYS_BUCKET = '30 days' THEN ai.INVOICE_OPEN_AMOUNT_LOCAL ELSE 0 END) AS ""30 day"",   SUM(CASE WHEN ai.INVOICE_AGING_IN_DAYS_BUCKET = '60 days' THEN ai.INVOICE_OPEN_AMOUNT_LOCAL ELSE 0 END) AS ""60 day"",   SUM(CASE WHEN ai.INVOICE_AGING_IN_DAYS_BUCKET = '90 days' THEN ai.INVOICE_OPEN_AMOUNT_LOCAL ELSE 0 END) AS ""90 day"",   SUM(CASE WHEN ai.INVOICE_AGING_IN_DAYS_BUCKET = '>90 days' THEN ai.INVOICE_OPEN_AMOUNT_LOCAL ELSE 0 END) AS "">90 day"",   SUM(ai.INVOICE_OPEN_AMOUNT_LOCAL) AS ""Total"" FROM   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN   FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT a_gl ON ai.AR_GL_ACCOUNT_FK = a_gl.AR_GL_ACCOUNT_PK WHERE   a_gl.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') GROUP BY   ac.CUSTOMER_NAME,   ac.BRAND,   ac.CUSTOMER_NETSUITE_ID"
